"codice","descrizione","rating","uso","dimensione_enterprise"
"G-1010","Try to label your sub blocks.","63","O","MAINTAINABILITY"
"G-1020","Always have a matching loop or block label.","85","c","MAINTAINABILITY"
"G-1030","Avoid defining variables that are not used.","74","c","MAINTAINABILITY"
"G-1040","Avoid dead code.","74","c","MAINTAINABILITY"
"G-1050","Avoid using literals in your code.","74","c","MAINTAINABILITY"
"G-1060","Avoid storing ROWIDs or UROWIDs in database tables.","84","c","DATA_INTEGRITY"
"G-1070","Avoid nesting comment blocks.","74","c","MAINTAINABILITY"
"G-1080","Avoid using the same expression on both sides of a relational comparison operator or a logical operator.","74","c","MAINTAINABILITY"
"G-2110","Try to use anchored declarations for variables, constants and types.","60","O","MAINTAINABILITY"
"G-2120","Try to have a single location to define your types.","63","O","MAINTAINABILITY"
"G-2130","Try to use subtypes for constructs used often in your code.","60","O","MAINTAINABILITY"
"G-2135","Avoid assigning values to local variables that are not used by a subsequent statement.","74","c","MAINTAINABILITY"
"G-2140","Never initialize variables with NULL.","98","R","DATA_INTEGRITY"
"G-2145","Never self-assign a variable.","88","R","MAINTAINABILITY"
"G-2150","Avoid comparisons with NULL value, consider using IS [NOT] NULL.","84","c","DATA_INTEGRITY"
"G-2160","Avoid initializing variables using functions in the declaration section.","74","c","MAINTAINABILITY"
"G-2170","Never overload variables.","88","R","MAINTAINABILITY"
"G-2180","Never use quoted identifiers.","88","R","SECURITY"
"G-2185","Avoid using overly short names for explicitly or implicitly declared identifiers.","74","c","MAINTAINABILITY"
"G-2190","Avoid using ROWID or UROWID.","84","c","DATA_INTEGRITY"
"G-2210","Avoid declaring NUMBER variables, constants or subtypes with no precision.","74","c","MAINTAINABILITY"
"G-2220","Try to use PLS_INTEGER instead of NUMBER for arithmetic operations with integer values.","68","O","PERFORMANCE"
"G-2230","Try to use SIMPLE_INTEGER datatype when appropriate.","68","O","PERFORMANCE"
"G-2310","Avoid using CHAR data type.","74","c","MAINTAINABILITY"
"G-2320","Never use VARCHAR data type.","88","R","MAINTAINABILITY"
"G-2330","Never use zero-length strings to substitute NULL.","98","R","DATA_INTEGRITY"
"G-2340","Always define your VARCHAR2 variables using CHAR SEMANTIC (if not defined anchored).","82","c","MAINTAINABILITY"
"G-2410","Try to use boolean data type for values with dual meaning.","60","O","MAINTAINABILITY"
"G-2510","Avoid using the LONG and LONG RAW data types.","74","c","MAINTAINABILITY"
"G-2610","Never use self-defined weak ref cursor types.","88","R","MAINTAINABILITY"
"G-3110","Always specify the target columns when coding an insert statement.","92","R","DATA_INTEGRITY"
"G-3115","Avoid self-assigning a column.","74","c","MAINTAINABILITY"
"G-3120","Always use table aliases when your SQL statement involves more than one source.","85","c","MAINTAINABILITY"
"G-3130","Try to use ANSI SQL-92 join syntax.","60","O","MAINTAINABILITY"
"G-3140","Try to use anchored records as targets for your cursors.","60","O","MAINTAINABILITY"
"G-3145","Avoid using SELECT * directly from a table or view.","84","c","DATA_INTEGRITY"
"G-3150","Try to use identity columns for surrogate keys.","60","O","MAINTAINABILITY"
"G-3160","Avoid visible virtual columns.","74","c","MAINTAINABILITY"
"G-3170","Always use DEFAULT ON NULL declarations to assign default values to table columns if you refuse to store NULL values.","92","R","DATA_INTEGRITY"
"G-3180","Always specify column names instead of positional references in ORDER BY clauses.","82","c","MAINTAINABILITY"
"G-3182","Always specify column names/aliases instead of positional references in GROUP BY clauses.","85","c","MAINTAINABILITY"
"G-3183","Always specify column aliases instead of expressions in GROUP BY clauses.","85","c","MAINTAINABILITY"
"G-3185","Never use ROWNUM at the same query level as ORDER BY.","98","R","DATA_INTEGRITY"
"G-3190","Avoid using NATURAL JOIN.","74","c","MAINTAINABILITY"
"G-3195","Always use wildcards in a LIKE clause.","82","c","MAINTAINABILITY"
"G-3210","Always use BULK OPERATIONS (BULK COLLECT, FORALL) whenever you have to execute a DML statement for more than 4 times.","90","R","PERFORMANCE"
"G-3220","Always process saved exceptions from a FORALL statement.","100","R","RELIABILITY"
"G-3310","Never commit within a cursor loop.","100","R","DATA_INTEGRITY"
"G-3320","Try to move transactions within a non-cursor loop into procedures.","82","c","DATA_INTEGRITY"
"G-3330","Avoid autonomous transactions.","88","R","DATA_INTEGRITY"
"G-4110","Always use %NOTFOUND instead of NOT %FOUND to check whether a cursor returned data.","82","c","MAINTAINABILITY"
"G-4120","Avoid using %NOTFOUND directly after the FETCH when working with BULK OPERATIONS and LIMIT clause.","82","c","PERFORMANCE"
"G-4130","Always close locally opened cursors.","82","c","MAINTAINABILITY"
"G-4140","Avoid executing any statements between a SQL operation and the usage of an implicit cursor attribute.","74","c","MAINTAINABILITY"
"G-4210","Try to use CASE rather than an IF statement with multiple ELSIF paths.","60","O","MAINTAINABILITY"
"G-4220","Try to use CASE rather than DECODE.","60","O","MAINTAINABILITY"
"G-4230","Always use a COALESCE instead of a NVL command, if parameter 2 of the NVL function is a function call or a SELECT statement.","82","c","MAINTAINABILITY"
"G-4240","Always use a CASE instead of a NVL2 command if parameter 2 or 3 of NVL2 is either a function call or a SELECT statement.","82","c","MAINTAINABILITY"
"G-4250","Avoid using identical conditions in different branches of the same IF or CASE statement.","74","c","MAINTAINABILITY"
"G-4260","Avoid inverting boolean conditions with NOT.","74","c","MAINTAINABILITY"
"G-4270","Avoid comparing boolean values to boolean literals.","74","c","MAINTAINABILITY"
"G-4310","Never use GOTO statements in your code.","88","R","MAINTAINABILITY"
"G-4320","Always label your loops.","85","c","MAINTAINABILITY"
"G-4325","Never reuse labels in inner scopes.","91","R","MAINTAINABILITY"
"G-4330","Always use a CURSOR FOR loop to process the complete cursor results unless you are using bulk operations.","90","R","PERFORMANCE"
"G-4340","Always use a NUMERIC FOR loop to process a dense array.","82","c","MAINTAINABILITY"
"G-4350","Always use 1 as lower and COUNT() as upper bound when looping through a dense array.","82","c","MAINTAINABILITY"
"G-4360","Always use a WHILE loop to process a loose array.","82","c","MAINTAINABILITY"
"G-4365","Never use unconditional CONTINUE or EXIT in a loop.","88","R","MAINTAINABILITY"
"G-4370","Avoid using EXIT to stop loop processing unless you are in a basic loop.","74","c","MAINTAINABILITY"
"G-4375","Always use EXIT WHEN instead of an IF statement to exit from a loop.","82","c","MAINTAINABILITY"
"G-4380","Try to label your EXIT WHEN statements.","63","O","MAINTAINABILITY"
"G-4385","Never use a cursor for loop to check whether a cursor returns data.","88","R","MAINTAINABILITY"
"G-4387","Never use a FOR LOOP for a query that should return not more than one row.","88","R","MAINTAINABILITY"
"G-4390","Avoid use of unreferenced FOR loop indexes.","74","c","MAINTAINABILITY"
"G-4395","Avoid hard-coded upper or lower bound values with FOR loops.","74","c","MAINTAINABILITY"
"G-5010","Try to use a error/logging framework for your application.","72","c","RELIABILITY"
"G-5020","Never handle unnamed exceptions using the error number.","100","R","RELIABILITY"
"G-5030","Never assign predefined exception names to user defined exceptions.","100","R","RELIABILITY"
"G-5040","Avoid use of WHEN OTHERS clause in an exception section without any other specific handlers.","86","c","RELIABILITY"
"G-5050","Avoid use of the RAISE_APPLICATION_ERROR built-in procedure with a hard-coded 20nnn error number or hard-coded message.","86","c","RELIABILITY"
"G-5060","Avoid unhandled exceptions.","86","c","RELIABILITY"
"G-5070","Avoid using Oracle predefined exceptions.","86","c","RELIABILITY"
"G-5080","Always use FORMAT_ERROR_BACKTRACE when using FORMAT_ERROR_STACK or SQLERRM.","94","R","RELIABILITY"
"G-6010","Always use a character variable to execute dynamic SQL.","94","R","SECURITY"
"G-6020","Try to use output bind arguments in the RETURNING INTO clause of dynamic DML statements rather than the USING clause.","60","O","MAINTAINABILITY"
"G-7110","Try to use named notation when calling program units.","63","O","MAINTAINABILITY"
"G-7120","Always add the name of the program unit to its end keyword.","82","c","MAINTAINABILITY"
"G-7125","Always use CREATE OR REPLACE instead of CREATE alone.","82","c","MAINTAINABILITY"
"G-7130","Always use parameters or pull in definitions rather than referencing external variables in a local program unit.","82","c","MAINTAINABILITY"
"G-7140","Always ensure that locally defined procedures or functions are referenced.","82","c","MAINTAINABILITY"
"G-7150","Try to remove unused parameters.","60","O","MAINTAINABILITY"
"G-7160","Always explicitly state parameter mode.","82","c","MAINTAINABILITY"
"G-7170","Avoid using an IN OUT parameter as IN or OUT only.","74","c","MAINTAINABILITY"
"G-7210","Try to keep your packages small. Include only few procedures and functions that are used in the same context.","63","O","MAINTAINABILITY"
"G-7220","Always use forward declaration for private functions and procedures.","82","c","MAINTAINABILITY"
"G-7230","Avoid declaring global variables public.","74","c","MAINTAINABILITY"
"G-7250","Never use RETURN in package initialization block.","88","R","MAINTAINABILITY"
"G-7310","Avoid standalone procedures â€“ put your procedures in packages.","74","c","MAINTAINABILITY"
"G-7320","Avoid using RETURN statements in a PROCEDURE.","74","c","MAINTAINABILITY"
"G-7330","Always assign values to OUT parameters.","92","R","DATA_INTEGRITY"
"G-7410","Avoid standalone functions â€“ put your functions in packages.","74","c","MAINTAINABILITY"
"G-7420","Always make the RETURN statement the last statement of your function.","82","c","MAINTAINABILITY"
"G-7430","Try to use no more than one RETURN statement within a function.","60","O","MAINTAINABILITY"
"G-7440","Never use OUT parameters to return values from a function.","98","R","DATA_INTEGRITY"
"G-7450","Never return a NULL value from a BOOLEAN function.","98","R","DATA_INTEGRITY"
"G-7460","Try to define your packaged/standalone function deterministic if appropriate.","60","O","PERFORMANCE"
"G-7510","Always prefix Oracle supplied packages with owner schema name.","94","R","SECURITY"
"G-7710","Avoid cascading triggers.","84","c","DATA_INTEGRITY"
"G-7720","Never use multiple UPDATE OF in trigger event clause.","98","R","DATA_INTEGRITY"
"G-7730","Avoid multiple DML events per trigger.","84","c","DATA_INTEGRITY"
"G-7740","Never handle multiple DML events per trigger if primary key is assigned in trigger.","98","R","DATA_INTEGRITY"
"G-7810","Never use SQL inside PL/SQL to read sequence numbers (or SYSDATE).","96","R","PERFORMANCE"
"G-7910","Never use DML within a SQL macro.","100","R","SECURITY"
"G-8110","Never use SELECT COUNT(*) if you are only interested in the existence of a row.","96","R","PERFORMANCE"
"G-8120","Never check existence of a row to decide whether to create it or not.","88","R","DATA_INTEGRITY"
"G-8210","Always use synonyms when accessing objects of another application schema.","94","R","SECURITY"
"G-8310","Always validate input parameter size by assigning the parameter to a size limited variable in the declaration section of program unit.","82","c","MAINTAINABILITY"
"G-8410","Always use application locks to ensure a program unit is only running once at a given time.","94","R","SECURITY"
"G-8510","Always use dbms_application_info to track program process transiently.","82","c","MAINTAINABILITY"
"G-9010","Always use a format model in string to date/time conversion functions.","85","c","MAINTAINABILITY"
"G-9020","Try to use a format model and NLS_NUMERIC_CHARACTERS in string to number conversion functions.","63","O","MAINTAINABILITY"
"G-9030","Try to define a default value on conversion errors.","72","c","RELIABILITY"
"G-9040","Try using FX in string to date/time conversion format model to avoid fuzzy conversion.","65","O","MAINTAINABILITY"
